ticker,ticker_type,ticker_adm
RBLG11,Tijolo: Galpões,BTG Pactual
RBRI11,Tijolo: Desenvolvimento,BTG Pactual
RBRM11,Tijolo: Desenvolvimento,BTG Pactual
RBTS11,Tijolo: Desenvolvimento,Oliveira Trust
RCFA11,Tijolo: Desenvolvimento,Terra Investimentos DTVM
RCFF11,Papel: Fundo de Fundos,BRL Trust DTVM
RCRI11B,Papel: CRIs,Oliveira Trust
REIT11,Papel: CRIs,Singulare CTVM
RSPD11,Tijolo: Desenvolvimento,Oliveira Trust
SAIC11B,Tijolo: Escritórios,BRB DTVM
SHOP11,Tijolo: Shoppings,Banco Modal S.A.
SJAU11,Tijolo: Galpões,Vórtx DTVM LTDA
SPAF11,Tijolo: Shoppings,Brasil Plural S.A. Banco Múltiplo
SRVD11,Indefinido,Vórtx DTVM LTDA
TCIN11,Tijolo: Escritórios,Singulare CTVM
TJKB11,Tijolo: Escritórios,BR-CAPITAL
TORM13,Tijolo: Desenvolvimento,Vórtx DTVM LTDA
TOUR11,Tijolo: Desenvolvimento,Vórtx DTVM LTDA
VLJS11,Tijolo: Escritórios,Planner Corretora de Valores
VSEC11,Papel: CRIs,Votorantim Asset Management
VXXV11,Tijolo: Outros,Vórtx DTVM LTDA
WTSP11B,Tijolo: Híbrido,Banco Ourinvest S.A.
XPHT11,Tijolo: Hotéis,Genial Investimentos Corretora de Valores Mobiliários S.A.
